aX,aY,aZ,gX,gY,gZ
-0.876,-0.216,1.873,-136.710,-89.600,49.490
-0.864,-0.186,1.845,-130.970,-101.780,46.060
-0.857,-0.157,1.776,-124.390,-108.640,46.550
-0.867,-0.150,1.807,-118.510,-120.610,47.390
-0.877,-0.171,1.813,-120.750,-134.050,47.250
-0.885,-0.251,1.734,-122.220,-144.900,45.710
-0.879,-0.329,1.681,-123.900,-153.860,40.670
-0.886,-0.399,1.604,-128.870,-164.150,32.970
-0.890,-0.455,1.510,-129.710,-167.230,20.090
-0.878,-0.512,1.468,-132.930,-169.120,5.250
-0.858,-0.490,1.424,-130.620,-171.080,-9.940
-0.829,-0.376,1.442,-108.360,-174.650,-16.870
-0.803,-0.177,1.477,-114.870,-183.190,-7.140
-0.793,-0.145,1.478,-90.790,-201.950,5.810
-0.807,-0.265,1.401,-75.810,-217.490,8.820
-0.803,-0.418,1.232,-70.630,-225.610,2.310
-0.773,-0.465,1.070,-63.840,-222.670,-5.600
-0.717,-0.479,0.964,-60.970,-216.720,-15.330
-0.677,-0.398,0.907,-59.430,-207.480,-12.460
-0.657,-0.410,0.940,-49.350,-195.720,-7.700
-0.644,-0.535,1.017,-45.430,-194.320,-17.080
-0.630,-0.661,1.041,-40.250,-196.070,-32.620
-0.612,-0.635,0.988,-37.170,-199.640,-45.150
-0.543,-0.534,0.878,-34.580,-196.980,-48.510
-0.492,-0.421,0.825,-20.650,-193.270,-40.670
-0.463,-0.518,0.802,-19.320,-190.820,-44.520
-0.404,-0.615,0.762,-22.190,-191.100,-58.380
-0.370,-0.492,0.689,-29.260,-191.170,-67.200
-0.336,-0.344,0.584,-28.980,-189.210,-61.110
-0.280,-0.295,0.451,-24.850,-182.280,-49.770
-0.238,-0.399,0.400,-24.290,-175.490,-48.370
-0.218,-0.607,0.367,-29.400,-169.050,-60.060
-0.165,-0.637,0.298,-36.190,-156.520,-72.870
-0.101,-0.549,0.281,-39.340,-146.580,-76.510
-0.067,-0.440,0.295,-35.560,-140.280,-74.620
-0.047,-0.481,0.266,-33.530,-136.220,-79.240
